Key,English,Korean,Portuguese,Japanese,Spanish,Thai,Indonesian,Russian,ChineseSimplified,ChineseTraditional,Tagalog,Vietnam
"L10N_PACKAGE_TEST","","펌 스펙업","","","","","","","","","",""
"ITEM_NAME_49900017","Rune Master","룬 마스터","Mestre das Runas","ルーンマスター","Maestro de Runas","ปรมาจารย์รูน","Master Rune","Мастер Рун","符文大师","符文大師","Maestro ng Rune","Bậc Thầy Rune"
"ITEM_NAME_10029","Freya Liberation Rune","프레이야 해방 룬","Runa de Libertação de Freya","フレイア解放ルーン","Runa de Liberación de Freya","รูนปลดปล่อยเฟรยา","Runa Pembebasan Freya","Руна Освобождения Фреи","弗蕾亚解放符文","弗蕾雅解放符文","Rune ng Paglaya ni Freya","Rune Mở Khóa Freyja"
"ITEM_NAME_10030","Freya Blessing Rune","프레이야 축복 룬","Runa da Bênção de Freya","フレイアの祝福ルーン","Runa de Bendición de Freya","รูนพรเฟรยา","Runa Berkah Freya","Руна Благословения Фреи","弗蕾亚祝福符文","弗蕾雅祝福符文","Rune ng Pagpapala ni Freya","Rune Được Freyja Ban Phước"
"ITEM_DESCRIPTION_49900017","Those who discovered new ways to use runes to aid adventurers in battle are called Rune Masters.
They are known for purifying the world with their various combinations of runes. 
Available with the purchase of the Rune Master Pass.","모험자들의 전투에 도움을 주던 룬에 대한 새로운 사용형태를 발견한 자. 그들은 룬 마스터라고 불리어지며
다양한 룬의 조합으로 세계를 정화하고 있는것으로 알려져있다.
룬 마스터 패스를 구입하면 획득가능","Aqueles que descobriram um novo uso para as runas que ajudavam os aventureiros na batalha. Eles são conhecidos como Mestres das Runas e são reconhecidos por purificar o mundo com várias combinações de runas. O passe de Mestre das Runas pode ser adquirido através da compra.","冒険者たちの戦闘に役立っていたルーンの新しい使い方を見つけた者。彼らはルーンマスターと呼ばれ、
様々なルーンを組み合わせて世界を浄化しているといわれている。
ルーンマスターパスを購入すると獲得可能。","Aquellos que descubrieron un nuevo uso para las runas que ayudaban a los aventureros en batalla. Se les conoce como Maestros de Runas y son reconocidos por purificar el mundo con diversas combinaciones de runas. El pase de Maestro de Runas se puede adquirir mediante compra.","ผู้ที่ค้นพบการใช้งานใหม่สำหรับรูนที่ช่วยเหลือนักผจญภัยในการต่อสู้ พวกเขาถูกเรียกว่ามาสเตอร์ของรูนและได้รับการยอมรับสำหรับการทำความสะอาดโลกด้วยการผสมผสานของรูนต่างๆ สามารถได้รับพาสมาสเตอร์ของรูนโดยการซื้อ","Mereka yang menemukan penggunaan baru untuk runa yang membantu petualang dalam pertempuran. Mereka dikenal sebagai Master Rune dan diakui karena membersihkan dunia dengan berbagai kombinasi runa. Pass Master Rune dapat diperoleh dengan membelinya","Те, кто открыл новое применение рунам, помогающим авантюристам в битвах. Они известны как Мастера Рун и признаны за очищение мира с помощью различных комбинаций рун. Паспорт Мастера Рун можно приобрести","那些为在战斗中帮助冒险者的符文发现了新用途的人。他们被称为符文大师，并以使用各种符文组合净化世界而被认可。购买符文大师通行证可以获得。","那些為在戰鬥中幫助冒險者的符文發現了新用途的人。他們被稱為符文大師，並以使用各種符文組合淨化世界而被認可。購買符文大師通行證可以獲得。","Yung mga nakadiskubre ng bagong gamit para sa mga runa na tumutulong sa mga adventurer sa laban. Kilala sila bilang Mga Master ng Rune at kinikilala sa paglilinis ng mundo gamit ang iba't ibang kombinasyon ng mga runa. Ang pass ng Master ng Rune ay maaaring makuha sa pamamagitan ng pagbili.","Những người đã khám phá ra cách mới để sử dụng rune nhằm giúp ích cho các nhà thám hiểm trong trận chiến.
Họ được mệnh danh là Bậc Thầy Rune và nổi tiếng nhờ khả năng thanh tẩy thế giới bằng nhiều cách kết hợp các rune khác nhau.
Có thể nhận khi mua Thẻ Bậc Thầy Rune."
"ITEM_DESCRIPTION_10029","This is a material used to craft runes and level up. It can be obtained as a [SUMMON] reward.","룬 제작과 레벨 업에 사용되는 재료입니다. [SUMMON] 보상으로 획득할 수 있습니다.","Este é um material usado para criar runas e aumentar o nível. Pode ser obtido como recompensa de [SUMMON].","ルーンの製作とレベルアップに使用される素材です。[召喚]のリワードとして入手できます。","Este es un material utilizado para crear runas y subir de nivel. Se puede obtener como recompensa de [SUMMON].","นี่คือวัสดุที่ใช้ในการสร้างรูนและเพิ่มระดับ สามารถได้รับเป็นรางวัลจาก [SUMMON]","Ini adalah bahan yang digunakan untuk membuat runa dan meningkatkan level. Bisa didapatkan sebagai hadiah [SUMMON].","Это материал, используемый для создания рун и повышения уровня. Можно получить в качестве награды за [ПРИЗЫВ].","这是用于制作符文和升级的材料。可以作为[召唤]奖励获得。","這是用於製作符文和升級的材料。可以作為[召喚]獎勵獲得。","Ito ay isang materyal na ginagamit para sa paggawa ng mga runa at pag-level up. Maaaring makuha bilang gantimpala sa [SUMMON].","Đây là nguyên liệu được sử dụng để chế tạo rune và tăng cấp. Có thể nhận được như một phần thưởng của [SUMMON]."
"ITEM_DESCRIPTION_10030","This is a material used to craft runes and level up. It can be obtained as a [SUMMON] reward.","룬 제작과 레벨 업에 사용되는 재료입니다. [SUMMON] 보상으로 획득할 수 있습니다.","Este é um material usado para criar runas e aumentar o nível. Pode ser obtido como recompensa de [SUMMON].","ルーンの製作とレベルアップに使用される素材です。[召喚]のリワードとして入手できます。","Este es un material utilizado para crear runas y subir de nivel. Se puede obtener como recompensa de [SUMMON].","นี่คือวัสดุที่ใช้ในการสร้างรูนและเพิ่มระดับ สามารถได้รับเป็นรางวัลจาก [SUMMON]","Ini adalah bahan yang digunakan untuk membuat runa dan meningkatkan level. Bisa didapatkan sebagai hadiah [SUMMON].","Это материал, используемый для создания рун и повышения уровня. Можно получить в качестве награды за [ПРИЗЫВ].","这是用于制作符文和升级的材料。可以作为[召唤]奖励获得。","這是用於製作符文和升級的材料。可以作為[召喚]獎勵獲得。","Ito ay isang materyal na ginagamit para sa paggawa ng mga runa at pag-level up. Maaaring makuha bilang gantimpala sa [SUMMON].","Đây là nguyên liệu được sử dụng để chế tạo rune và tăng cấp. Có thể nhận được như một phần thưởng của [SUMMON]."
"UI_RUNE_LEVEL_BONUS","Level Bonus","레벨 보너스","Bônus de Nível","レベルボーナス","Bono de Nivel","โบนัสระดับ","Bonus Level","Бонус Уровня","等级奖励","等級獎勵","Bonus ng Antas","Thưởng Cấp Độ"
"UI_RUNE_STAT_REWARD","Rune Stat Reward","룬 스탯 보상","Recompensa de Estatísticas","ルーンステータス報酬","Recompensa de Estadísticas","รางวัลสถิติ","Hadiah Statistik","Награда за Статистику","属性奖励","属性獎勵","Gantimpala sa Estadistika","Thưởng Chỉ Số Rune"
"UI_RUNE_LEVEL_BONUS_EFFECT","Reward Information","보상 정보","INFORMAÇÃO DE RECOMPENSA","報酬情報","INFORMACIÓN DE RECOMPENSA","ข้อมูลรางวัล","INFORMASI HADIAH","ИНФОРМАЦИЯ О НАГРАДАХ","奖励信息","獎勵信息","IMPORMASYON SA GANTIMPALA","Thông Tin Thưởng"
